isins,timeSpan,nameTimeSpan,performanceTimeSpanPct,sharpeRatioAnnualised,sharpeRatio,excessReturn,volatility,maxDrawdown,countMonthsPositivePerformance,oneMonthHigh,oneMonthLow,highQuote,lowQuote,avgPrice
LU2585800795,1M,1 Monat,0.635,5.3719,0.4581,0.455,0.9933,-0.0746,100.0,0.5317,0.5317,107.77,107.09,107.42
LU2585800795,3M,3 Monate,1.0312,1.5267,0.3464,0.4112,1.1871,-0.6079,100.0,0.5317,0.0937,107.77,106.28,106.95
LU2585800795,1Y,1 Jahr,4.0251,0.7797,0.7817,0.6551,0.838,-0.6079,100.0,0.5985,0.0937,107.77,103.55,105.54
LU2585800795,3Y,3 Jahre,,,,,,,,,,,,
LU2585800795,5Y,5 Jahre,,,,,,,,,,,,
LU2585800795,10Y,10 Jahre,,,,,,,,,,,,
LU2585800795,CY,2025,1.6506,,,,,,,,,,,
LU2585800795,1PA,2024,3.4543,,,,,,,,,,,
LU2585800795,2PA,2023,,,,,,,,,,,,
LU2585800795,3PA,2022,,,,,,,,,,,,
LU2585800795,4PA,2021,,,,,,,,,,,,
LU2585800795,5PA,2020,,,,,,,,,,,,
LU2585800795,SE,Seit Emission,7.77,,,,,,,,,,,
LU2585800795,2Y,2 Jahre,,2.0756,4.3086,3.0703,0.7126,-0.6079,100.0,0.6642,0.0584,107.77,99.87,103.72
LU2585800795,4Y,4 Jahre,,,,,,,,,,,,
LU1950964657,1M,1 Monat,0.1693,-0.7709,-0.0406,-0.0107,0.2636,-0.0188,100.0,0.1128,0.1128,53.26,53.17,53.23
LU1950964657,3M,3 Monate,0.3769,-3.2039,-0.8374,-0.2431,0.2903,-0.0565,100.0,0.1131,0.0941,53.26,53.05,53.15
LU1950964657,1Y,1 Jahr,3.1137,-0.4688,-0.4657,-0.2563,0.5503,-0.1723,100.0,0.443,0.0941,53.26,51.79,52.62
LU1950964657,3Y,3 Jahre,11.096,1.0271,3.2107,9.806,3.0542,-6.8811,86.1111,3.2678,-3.966,53.26,45.65,50.48
LU1950964657,5Y,5 Jahre,19.7037,1.1922,6.3815,21.2037,3.3227,-13.5299,73.3333,3.5418,-3.966,53.51,45.65,50.92
LU1950964657,10Y,10 Jahre,,,,,,,,,,,,
LU1950964657,CY,2025,0.8521,,,,,,,,,,,
LU1950964657,1PA,2024,3.9366,,,,,,,,,,,
LU1950964657,2PA,2023,7.8933,,,,,,,,,,,
LU1950964657,3PA,2022,-8.1612,,,,,,,,,,,
LU1950964657,4PA,2021,2.0042,,,,,,,,,,,
