isins,timeSpan,nameTimeSpan,performanceTimeSpanPct,sharpeRatioAnnualised,sharpeRatio,excessReturn,volatility,maxDrawdown,countMonthsPositivePerformance,oneMonthHigh,oneMonthLow,highQuote,lowQuote,avgPrice
LU1221100792,1M,1 Monat,0.3467,0.8948,0.0716,1.1294,15.7778,-4.0698,100.0,1.0994,1.0994,26.4952,25.1405,25.85
LU1221100792,3M,3 Monate,3.9878,0.3326,0.0822,1.3979,16.9972,-6.8158,66.6667,4.4295,-3.7806,26.4952,24.5437,25.65
LU1221100792,1Y,1 Jahr,20.6568,0.8956,0.8957,12.9775,14.4886,-6.8158,75.0,4.7233,-3.7806,26.4952,21.7971,24.82
LU1221100792,3Y,3 Jahre,44.544,0.5994,2.0353,45.7484,22.4773,-38.9949,75.0,17.3325,-34.5136,26.4952,13.6297,21.47
LU1221100792,5Y,5 Jahre,35.0893,0.4004,2.3155,45.0456,19.4539,-38.9949,68.3333,17.3325,-34.5136,26.4952,13.6297,20.5
LU1221100792,10Y,10 Jahre,,,,,,,,,,,,
LU1221100792,CY,2022,-1.865,,,,,,,,,,,
LU1221100792,1PA,2021,26.2411,,,,,,,,,,,
LU1221100792,2PA,2020,-5.4233,,,,,,,,,,,
LU1221100792,3PA,2019,31.1023,,,,,,,,,,,
