date,DE0005933931,DE0006289390,DE000A0F5UF5,DE000A0F5UG3,DE000ETFL474,IE0005042456,IE000NBRE3P7,IE00B53SZB19,IE00B5BMR087,IE00B6X2VY59,IE00BCRY6557,IE00BFY0GT14,IE00BJK55C48,IE00BJQRDN15,IE00BKWQ0G16,IE00BM67HX07,IE00BZ02LR44,IE00BZ048462,LU0274211480,LU0340285161,LU1109942653,LU1109943388,LU1681040900,LU1829219390,LU1900066033
2000-04-27,,,,,,10.0,,,,,,,,,,,,,,,,,,,
2000-05-08,,,,,,10.06,,,,,,,,,,,,,,,,,,,
2000-05-22,,,,,,9.78,,,,,,,,,,,,,,,,,,,
2000-06-05,,,,,,10.61,,,,,,,,,,,,,,,,,,,
2000-06-19,,,,,,10.52,,,,,,,,,,,,,,,,,,,
2000-07-03,,,,,,10.49,,,,,,,,,,,,,,,,,,,
2000-07-17,,,,,,10.58,,,,,,,,,,,,,,,,,,,
2000-08-01,,,,,,10.32,,,,,,,,,,,,,,,,,,,
2000-08-14,,,,,,10.45,,,,,,,,,,,,,,,,,,,
2000-08-29,,,,,,10.7,,,,,,,,,,,,,,,,,,,
2000-09-11,,,,,,10.7,,,,,,,,,,,,,,,,,,,
2000-09-25,,,,,,10.18,,,,,,,,,,,,,,,,,,,
2000-10-09,,,,,,10.19,,,,,,,,,,,,,,,,,,,
2000-10-23,,,,,,10.28,,,,,,,,,,,,,,,,,,,
2000-11-06,,,,,,10.46,,,,,,,,,,,,,,,,,,,
2000-11-20,,,,,,10.33,,,,,,,,,,,,,,,,,,,
2000-12-04,,,,,,10.02,,,,,,,,,,,,,,,,,,,
2000-12-18,,,,,,10.17,,,,,,,,,,,,,,,,,,,
2000-12-27,63.01,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-02,63.82,,,,,10.06,,,,,,,,,,,,,,,,,,,
2001-01-15,65.36,,,,,10.06,,,,,,,,,,,,,,,,,,,
2001-01-29,66.98,,,,,10.3,,,,,,,,,,,,,,,,,,,
2001-02-12,65.19,,,,,10.17,,,,,,,,,,,,,,,,,,,
2001-02-26,61.76,,,,,9.66,,,,,,,,,,,,,,,,,,,
2001-03-12,60.89,,,,,9.53,,,,,,,,,,,,,,,,,,,
2001-03-26,57.27,,,,,9.15,,,,,,,,,,,,,,,,,,,
2001-04-09,57.9,,,,,9.3,,,,,,,,,,,,,,,,,,,
2001-04-23,60.58,,,,,9.64,,,,,,,,,,,,,,,,,,,
2001-05-07,61.36,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-08,,,,,,9.68,,,,,,,,,,,,,,,,,,,
2001-05-21,61.75,,,,,9.77,,,,,,,,,,,,,,,,,,,
2001-06-04,61.81,,,,,9.6,,,,,,,,,,,,,,,,,,,
2001-06-18,59.15,,,,,9.3,,,,,,,,,,,,,,,,,,,
2001-07-02,60.76,,,,,9.38,,,,,,,,,,,,,,,,,,,
2001-07-16,59.23,,,,,9.05,,,,,,,,,,,,,,,,,,,
2001-07-30,58.29,,,,,8.94,,,,,,,,,,,,,,,,,,,
2001-08-13,55.08,,,,,8.92,,,,,,,,,,,,,,,,,,,
2001-08-27,54.47,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-28,,,,,,8.96,,,,,,,,,,,,,,,,,,,
2001-09-10,46.5,,,,,8.29,,,,,,,,,,,,,,,,,,,
2001-09-19,,88.9,,,,,,,,,,,,,,,,,,,,,,,
2001-09-24,39.43,84.6,,,,7.6,,,,,,,,,,,,,,,,,,,
2001-10-08,44.61,90.67,,,,8.3,,,,,,,,,,,,,,,,,,,
2001-10-22,45.71,92.58,,,,8.41,,,,,,,,,,,,,,,,,,,
2001-11-05,47.36,94.42,,,,8.65,,,,,,,,,,,,,,,,,,,
2001-11-19,52.04,99.67,,,,8.87,,,,,,,,,,,,,,,,,,,
2001-12-03,49.28,97.66,,,,8.59,,,,,,,,,,,,,,,,,,,
2001-12-17,50.38,98.68,,,,8.54,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,8.68,,,,,,,,,,,,,,,,,,,
2002-01-02,51.67,100.23,,,,,,,,,,,,,,,,,,,,,,,
2002-01-14,51.32,99.88,,,,8.5,,,,,,,,,,,,,,,,,,,
2002-01-28,52.07,99.14,,,,8.69,,,,,,,,,,,,,,,,,,,
2002-02-11,49.1,98.11,,,,8.58,,,,,,,,,,,,,,,,,,,
2002-02-25,48.23,101.01,,,,8.5,,,,,,,,,,,,,,,,,,,
2002-03-11,53.25,105.96,,,,8.79,,,,,,,,,,,,,,,,,,,
2002-03-25,53.69,104.85,,,,8.73,,,,,,,,,,,,,,,,,,,
2002-04-08,51.58,102.07,,,,8.69,,,,,,,,,,,,,,,,,,,
2002-04-22,51.97,102.82,,,,8.77,,,,,,,,,,,,,,,,,,,
2002-05-06,49.12,100.67,,,,,,,,,,,,,,,,,,,,,,,
2002-05-07,,,,,,8.61,,,,,,,,,,,,,,,,,,,
2002-05-20,50.39,103.53,,,,8.77,,,,,,,,,,,,,,,,,,,
2002-06-03,48.35,100.24,,,,,,,,,,,,,,,,,,,,,,,
2002-06-05,,,,,,8.41,,,,,,,,,,,,,,,,,,,
2002-06-17,44.09,96.09,,,,8.02,,,,,,,,,,,,,,,,,,,
