name,nsin,isin,capitalization,type,performance_cy,volatility_cy,max_drawdown_cy,months_positive_cy,initial_fee,ongoing_charges,data_id
ALLIANZ-GIF-ALLIANZ-GLOBAL-SUSTAINABILITY-A-EUR-DIS-Fonds-LU0158827195,157662,LU0158827195,Ausschüttend,Aktienfonds,,28.35,-30.85,62.5,5.0,1.86,
MEAG-NACHHALTIGKEIT-A-EUR-DIS-Fonds-DE0001619997,161999,DE0001619997,Ausschüttend,Aktienfonds,-8.22,32.35,-33.98,62.5,5.0,1.57,
ALLIANZ-GIF-ALLIANZ-GLOBAL-SUSTAINABILITY-A-USD-DIS-Fonds-LU0158827948,164168,LU0158827948,Ausschüttend,Aktienfonds,0.32,28.7,-31.27,62.5,5.0,1.86,
ALLIANZ-GIF-ALLIANZ-GLOBAL-SUSTAINABILITY-CT-EUR-ACC-Fonds-LU0158828326,164169,LU0158828326,Thesaurierend,Aktienfonds,-0.53,28.42,-30.89,62.5,5.0,2.61,
SWISSCANTO-LU-EQUITY-FUND-SUSTAINABLE-AA-EUR-DIS-Fonds-LU0161535835,216770,LU0161535835,Ausschüttend,Aktienfonds,2.79,33.38,-31.6,62.5,5.0,1.95,
DWS-SDG-GLOBAL-EQUITIES-LD-EUR-DIS-Fonds-DE0005152466,515246,DE0005152466,Ausschüttend,Aktienfonds,0.48,28.12,-30.49,75.0,5.0,1.45,
KCD-UNION-NACHHALTIG-AKTIEN-MINRISK-EUR-DIS-Fonds-DE0005326532,532653,DE0005326532,Ausschüttend,Aktienfonds,-9.08,26.81,-29.12,50.0,3.0,1.67,
DKB-NACHHALTIGKEITSFONDS-SDG-AL-EUR-DIS-Fonds-LU0117118041,541954,LU0117118041,Ausschüttend,Aktienfonds,5.96,30.67,-30.2,75.0,3.0,1.87,
DKB-NACHHALTIGKEITSFONDS-KLIMASCHUTZ-AL-EUR-DIS-Fonds-LU0117118124,541955,LU0117118124,Ausschüttend,Aktienfonds,7.8,32.37,-31.56,75.0,3.0,1.87,
CANDRIAM-SUSTAINABLE-EUROPE-C-EUR-ACC-Fonds-BE0173540072,550962,BE0173540072,Thesaurierend,Aktienfonds,-6.81,30.66,-32.68,62.5,2.5,1.99,
CANDRIAM-SUSTAINABLE-NORTH-AMERICA-C-USD-ACC-Fonds-BE0173901779,550963,BE0173901779,Thesaurierend,Aktienfonds,-0.52,39.37,-34.63,62.5,2.5,2.07,
CANDRIAM-SUSTAINABLE-PACIFIC-C-JPY-ACC-Fonds-BE0174191768,550965,BE0174191768,Thesaurierend,Aktienfonds,-13.01,27.06,-31.7,62.5,2.5,2.07,
CANDRIAM-SUSTAINABLE-MEDIUM-C-EUR-ACC-Fonds-BE0159411405,550967,BE0159411405,Thesaurierend,Aktienfonds,-1.44,13.8,-18.48,62.5,2.5,1.78,
MERIDIO-GREEN-BALANCE-P-EUR-DIS-Fonds-LU0117185156,564968,LU0117185156,Ausschüttend,Aktienfonds,1.6,25.31,-32.0,87.5,5.0,3.52,
GENERALI-INVESTMENTS-SICAV-SRI-EUROPEAN-EQUITY-BX-EUR-ACC-Fonds-LU0145455571,577677,LU0145455571,Thesaurierend,Aktienfonds,-9.85,28.62,-33.38,62.5,5.0,0.92,
GENERALI-INVESTMENTS-SICAV-SRI-EUROPEAN-EQUITY-CX-EUR-ACC-Fonds-LU0145455811,577679,LU0145455811,Thesaurierend,Aktienfonds,-10.02,28.62,-33.4,62.5,5.0,1.17,
GENERALI-INVESTMENTS-SICAV-SRI-EUROPEAN-EQUITY-DX-EUR-ACC-Fonds-LU0145456207,577692,LU0145456207,Thesaurierend,Aktienfonds,-10.37,28.62,-33.42,62.5,5.0,1.71,
GREEN-EFFECTS-NAI-WERTE-FONDS-UNITS-EUR-ACC-Fonds-IE0005895655,580265,IE0005895655,Thesaurierend,Aktienfonds,19.88,27.85,-31.64,75.0,4.0,1.34,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-BX-USD-ACC-Fonds-LU0034955236,590117,LU0034955236,Thesaurierend,Aktienfonds,13.24,35.29,-31.68,62.5,,1.5,
BMO-SUSTAINABLE-OPPORTUNITIES-EUROPEAN-EQUITY-FUND-A-EUR-DIS-Fonds-LU0153358667,592860,LU0153358667,Ausschüttend,Aktienfonds,-4.39,27.23,-31.07,62.5,5.0,1.55,
JPMORGAN-FUNDS-GLOBAL-SOCIALLY-RESPONSIBLE-FUND-D-USD-ACC-Fonds-LU0117882547,603002,LU0117882547,Thesaurierend,Aktienfonds,8.8,28.61,-31.01,75.0,5.0,2.81,
DWS-ESG-EUROPEAN-EQUITIES-LC-EUR-ACC-Fonds-LU0130393993,630843,LU0130393993,Thesaurierend,Aktienfonds,-4.68,33.43,-35.9,62.5,3.75,1.35,
RAIFFEISEN-NACHHALTIGKEIT-AKTIEN-R-EUR-DIS-Fonds-AT0000677901,633634,AT0000677901,Ausschüttend,Aktienfonds,-3.91,29.23,-30.22,62.5,4.0,1.67,
RAIFFEISEN-NACHHALTIGKEIT-AKTIEN-R-EUR-Fonds-AT0000677927,633636,AT0000677927,Vollthesaurierer,Aktienfonds,-3.9,29.22,-30.22,62.5,4.0,1.67,
DEKA-PORTFOLIO-NACHHALTIGKEIT-GLOBALE-AKTIEN-EUR-DIS-Fonds-LU0133819333,658871,LU0133819333,Ausschüttend,Aktienfonds,-9.23,20.63,-28.37,62.5,3.75,1.53,
