name,data_id,nsin,isin,initial_fee,ongoing_charges,capitalization,type,investment_focus,volume,performance_cy,performance_1y,performance_3y,performance_5y,volatility_cy,volatility_1y,volatility_3y,volatility_5y,max_drawdown_cy,max_drawdown_1y,max_drawdown_3y,max_drawdown_5y,months_positive_cy,capitalization_amount,capitalization_currency,performance_1m,performance_6m,volatility_1m,outperformance_3m,outperformance_1y
ALLIANZ-GIF-ALLIANZ-GLOBAL-SUSTAINABILITY-A-EUR-DIS-Fonds-LU0158827195,120488190,157662,LU0158827195,5.0,1.86,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.36,-1.18,1.19,29.61,61.52,16.63,25.46,17.97,15.85,-4.05,-30.85,-30.85,-30.85,,,,,,,,
MEAG-NACHHALTIGKEIT-A-EUR-DIS-Fonds-DE0001619997,28303025,161999,DE0001619997,5.0,1.57,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",,0.71,-1.32,19.51,67.14,13.5,28.64,19.1,16.81,-3.84,-33.98,-33.98,-33.98,,,,,,,,
ALLIANZ-GIF-ALLIANZ-GLOBAL-SUSTAINABILITY-AT-EUR-ACC-Fonds-LU0158827518,302508246,164166,LU0158827518,5.0,1.85,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.36,-1.15,,,,16.7,,,,-4.06,,,,,,,,,,,
ALLIANZ-GIF-ALLIANZ-GLOBAL-SUSTAINABILITY-A-USD-DIS-Fonds-LU0158827948,35420660,164168,LU0158827948,5.0,1.86,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.36,-1.52,1.71,30.49,62.21,16.85,26.01,18.28,15.82,-4.77,-31.27,-31.27,-31.27,,,,,,,,
ALLIANZ-GIF-ALLIANZ-GLOBAL-SUSTAINABILITY-CT-EUR-ACC-Fonds-LU0158828326,18734633,164169,LU0158828326,5.0,2.61,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.36,-1.21,0.41,26.73,55.64,16.59,25.51,17.98,15.86,-4.06,-30.89,-30.89,-30.89,,,,,,,,
SWISSCANTO-LU-EQUITY-FUND-SUSTAINABLE-AA-EUR-DIS-Fonds-LU0161535835,299069172,216770,LU0161535835,5.0,1.96,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",536.4,1.84,16.38,39.94,80.55,17.99,29.62,20.19,17.54,-4.26,-31.6,-31.6,-31.6,,,,,,,,
DWS-SDG-GLOBAL-EQUITIES-LD-EUR-DIS-Fonds-DE0005152466,20801581,515246,DE0005152466,5.0,1.46,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",280.4,4.82,17.55,39.04,71.54,16.41,25.22,17.74,15.4,-2.95,-30.49,-30.49,-30.49,,,,,,,,
KCD-UNION-NACHHALTIG-AKTIEN-MINRISK-EUR-DIS-Fonds-DE0005326532,3232504,532653,DE0005326532,3.0,1.67,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",228.23,0.12,-2.07,-1.05,30.11,9.12,23.74,15.88,13.98,-2.55,-29.12,-29.12,-29.12,,,,,,,,
DKB-NACHHALTIGKEITSFONDS-SDG-AL-EUR-DIS-Fonds-LU0117118041,20725343,541954,LU0117118041,3.0,1.87,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",59.72,1.6,14.49,44.23,48.31,13.87,27.35,17.96,15.65,-3.91,-30.2,-30.2,-30.2,100.0,,,,,,,
DKB-NACHHALTIGKEITSFONDS-KLIMASCHUTZ-AL-EUR-DIS-Fonds-LU0117118124,28791314,541955,LU0117118124,3.0,1.87,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",91.98,1.02,17.91,50.78,99.83,14.76,28.8,21.74,18.57,-4.02,-31.56,-31.56,-31.56,100.0,,,,,,,
CANDRIAM-SUSTAINABLE-EUROPE-C-EUR-ACC-Fonds-BE0173540072,28299064,550962,BE0173540072,2.5,1.99,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",107.15,-1.76,0.51,15.43,38.85,12.11,27.64,19.01,17.21,-3.99,-32.68,-32.68,-32.68,,,,,,,,
CANDRIAM-SUSTAINABLE-NORTH-AMERICA-C-USD-ACC-Fonds-BE0173901779,28299179,550963,BE0173901779,2.5,2.07,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",43.44,0.93,9.08,36.64,60.73,15.95,34.75,23.15,19.09,-4.01,-34.63,-34.63,-34.63,,,,,,,,
CANDRIAM-SUSTAINABLE-PACIFIC-C-JPY-ACC-Fonds-BE0174191768,28303340,550965,BE0174191768,2.5,2.07,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",22.92,1.69,-1.41,5.45,31.3,15.14,24.32,18.52,18.57,-3.03,-30.82,-32.48,-34.03,,,,,,,,
SQUAD-GREEN-BALANCE-R-EUR-DIS-Fonds-LU0117185156,3229061,564968,LU0117185156,5.0,3.06,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",22.33,2.45,18.5,21.16,43.67,8.35,22.6,15.73,13.59,-2.08,-32.0,-32.0,-32.0,100.0,,,,,,,
GENERALI-INVESTMENTS-SICAV-SRI-EUROPEAN-EQUITY-BX-EUR-ACC-Fonds-LU0145455571,24749022,577677,LU0145455571,5.0,0.92,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",221.88,0.21,0.02,5.98,29.53,9.79,25.92,17.92,16.53,-1.87,-33.38,-33.38,-33.38,,,,,,,,
GENERALI-INVESTMENTS-SICAV-SRI-EUROPEAN-EQUITY-CX-EUR-ACC-Fonds-LU0145455811,17377998,577679,LU0145455811,5.0,1.17,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",221.88,0.19,-0.23,5.19,27.93,9.79,25.92,17.92,16.53,-1.89,-33.4,-33.4,-33.4,,,,,,,,
GENERALI-INVESTMENTS-SICAV-SRI-EUROPEAN-EQUITY-DX-EUR-ACC-Fonds-LU0145456207,11118338,577692,LU0145456207,5.0,1.71,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",221.88,0.15,-0.77,3.49,24.5,9.8,25.92,17.92,16.53,-1.91,-33.42,-33.42,-33.42,,,,,,,,
GREEN-EFFECTS-NAI-WERTE-FONDS-UNITS-EUR-ACC-Fonds-IE0005895655,258368246,580265,IE0005895655,4.0,1.34,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",,3.27,40.9,67.21,103.03,17.13,25.17,17.96,19.09,-3.27,-31.64,-31.64,-31.64,,,,,,,,
