isins,timeSpan,nameTimeSpan,performanceTimeSpanPct,sharpeRatioAnnualised,sharpeRatio,excessReturn,volatility,maxDrawdown,countMonthsPositivePerformance,oneMonthHigh,oneMonthLow,highQuote,lowQuote,avgPrice
LU1727504430,1M,1 Monat,0.2221,0.1605,0.0138,0.2521,18.3329,-3.5662,100.0,2.0021,2.0021,157.94,151.97,154.97
LU1727504430,3M,3 Monate,4.3335,1.3312,0.3113,4.4135,14.1756,-5.3323,100.0,3.8895,0.2048,160.53,145.0,153.43
LU1727504430,1Y,1 Jahr,20.2162,1.5938,1.594,20.5162,12.8711,-8.6111,75.0,4.2396,-2.7528,160.53,130.22,145.71
LU1727504430,3Y,3 Jahre,75.2163,1.4117,5.1488,76.6563,14.8881,-24.3832,77.7778,11.6436,-9.1494,160.53,89.84,122.55
LU1727504430,5Y,5 Jahre,,,,,,,,,,,,
LU1727504430,10Y,10 Jahre,,,,,,,,,,,,
LU1727504430,CY,2021,20.427,,,,,,,,,,,
LU1727504430,1PA,2020,15.1145,,,,,,,,,,,
LU1727504430,2PA,2019,26.3923,,,,,,,,,,,
LU1727504430,3PA,2018,,,,,,,,,,,,
LU1727504430,4PA,2017,,,,,,,,,,,,
LU1727504430,5PA,2016,,,,,,,,,,,,
LU1727504430,SE,Seit Emission,58.4629,,,,,,,,,,,
LU1727504430,2Y,2 Jahre,,1.0737,2.339,39.2339,16.7738,-24.3832,75.0,11.6436,-9.1494,160.53,91.95,131.12
LU1727504430,4Y,4 Jahre,,,,,,,,,,,,
LU2262057305,1M,1 Monat,2.2235,1.6861,0.1315,2.2535,17.134,-3.9533,100.0,2.8609,2.8609,107.12,102.72,105.0
LU2262057305,3M,3 Monate,1.4498,0.4629,0.113,1.5298,13.5336,-5.7493,66.6667,2.8609,-2.4007,109.09,101.17,105.76
LU2262057305,1Y,1 Jahr,,,,,,,,,,,,
LU2262057305,3Y,3 Jahre,,,,,,,,,,,,
LU2262057305,5Y,5 Jahre,,,,,,,,,,,,
LU2262057305,10Y,10 Jahre,,,,,,,,,,,,
LU2262057305,CY,2021,7.2222,,,,,,,,,,,
LU2262057305,1PA,2020,,,,,,,,,,,,
LU2262057305,2PA,2019,,,,,,,,,,,,
LU2262057305,3PA,2018,,,,,,,,,,,,
LU2262057305,4PA,2017,,,,,,,,,,,,
LU2262057305,5PA,2016,,,,,,,,,,,,
LU2262057305,SE,Seit Emission,7.2222,,,,,,,,,,,
LU2262057305,2Y,2 Jahre,,,,,,,,,,,,
LU2262057305,4Y,4 Jahre,,,,,,,,,,,,
LU0401311831,1M,1 Monat,3.5969,2.6599,0.1856,3.6269,19.5409,-4.0254,100.0,3.0322,3.0322,31238.2,29889.9,30509.6
LU0401311831,3M,3 Monate,3.5316,0.8904,0.2107,3.6116,17.1375,-5.8737,66.6667,3.0322,-1.3467,31755.1,28715.1,30430.2
LU0401311831,1Y,1 Jahr,22.2317,1.6049,1.6194,22.5317,13.9134,-7.6311,75.0,4.199,-1.5095,31755.1,25301.0,28821.6
LU0401311831,3Y,3 Jahre,70.2948,1.0268,3.7052,71.7348,19.3607,-34.7283,72.2222,9.5354,-18.3847,31755.1,16125.5,24251.2
LU0401311831,5Y,5 Jahre,72.1437,0.7133,4.4634,73.6437,16.4995,-34.7283,70.0,9.5354,-18.3847,31755.1,16125.5,22617.6
LU0401311831,10Y,10 Jahre,,,,,,,,,,,,
LU0401311831,CY,2021,21.4277,,,,,,,,,,,
LU0401311831,1PA,2020,10.8573,,,,,,,,,,,
LU0401311831,2PA,2019,23.547,,,,,,,,,,,
LU0401311831,3PA,2018,-8.6394,,,,,,,,,,,
LU0401311831,4PA,2017,13.0169,,,,,,,,,,,
LU0401311831,5PA,2016,0.8216,,,,,,,,,,,
LU0401311831,SE,Seit Emission,207.499,,,,,,,,,,,
LU0401311831,2Y,2 Jahre,,0.7202,1.5514,34.3373,22.1337,-34.7283,66.6667,9.5354,-18.3847,31755.1,16125.5,25747.3
LU0401311831,4Y,4 Jahre,,0.624,2.9161,52.2624,17.922,-34.7283,68.75,9.5354,-18.3847,31755.1,16125.5,23348.6
IE00BMYDBG17,1M,1 Monat,1.1971,0.8999,0.0692,1.2271,17.7318,-3.9108,100.0,1.1971,1.1971,26.0085,24.8553,25.59
IE00BMYDBG17,3M,3 Monate,8.3177,3.1602,0.6965,8.3977,12.0563,-3.9108,100.0,4.3918,1.1971,26.0085,23.4597,24.91
IE00BMYDBG17,1Y,1 Jahr,,,,,,,,,,,,
IE00BMYDBG17,3Y,3 Jahre,,,,,,,,,,,,
IE00BMYDBG17,5Y,5 Jahre,,,,,,,,,,,,
IE00BMYDBG17,10Y,10 Jahre,,,,,,,,,,,,
IE00BMYDBG17,CY,2021,28.3296,,,,,,,,,,,
IE00BMYDBG17,1PA,2020,,,,,,,,,,,,
IE00BMYDBG17,2PA,2019,,,,,,,,,,,,
IE00BMYDBG17,3PA,2018,,,,,,,,,,,,
IE00BMYDBG17,4PA,2017,,,,,,,,,,,,
IE00BMYDBG17,5PA,2016,,,,,,,,,,,,
IE00BMYDBG17,SE,Seit Emission,28.3296,,,,,,,,,,,
IE00BMYDBG17,2Y,2 Jahre,,,,,,,,,,,,
IE00BMYDBG17,4Y,4 Jahre,,,,,,,,,,,,
IE00BMYDBM76,1M,1 Monat,1.2645,1.297,0.0971,1.6988,17.4905,-3.0764,100.0,1.6688,1.6688,29.1513,27.9678,28.62
IE00BMYDBM76,3M,3 Monate,9.9505,2.1455,0.4908,5.9032,12.0286,-3.3694,100.0,2.2059,1.6688,29.1513,26.8405,28.24
IE00BMYDBM76,1Y,1 Jahr,,,,,,,,,,,,
IE00BMYDBM76,3Y,3 Jahre,,,,,,,,,,,,
IE00BMYDBM76,5Y,5 Jahre,,,,,,,,,,,,
IE00BMYDBM76,10Y,10 Jahre,,,,,,,,,,,,
IE00BMYDBM76,CY,2021,29.6733,,,,,,,,,,,
IE00BMYDBM76,1PA,2020,,,,,,,,,,,,
IE00BMYDBM76,2PA,2019,,,,,,,,,,,,
IE00BMYDBM76,3PA,2018,,,,,,,,,,,,
IE00BMYDBM76,4PA,2017,,,,,,,,,,,,
IE00BMYDBM76,5PA,2016,,,,,,,,,,,,
IE00BMYDBM76,SE,Seit Emission,29.6733,,,,,,,,,,,
IE00BMYDBM76,2Y,2 Jahre,,,,,,,,,,,,
IE00BMYDBM76,4Y,4 Jahre,,,,,,,,,,,,
AT0000A1TRM7,1M,1 Monat,-0.2433,-1.1746,-0.1061,-0.2133,2.0101,-0.5256,0.0,-0.4552,-0.4552,98.93,98.41,98.77
AT0000A1TRM7,3M,3 Monate,-0.6261,-1.0013,-0.2525,-0.5461,2.1627,-0.9593,0.0,-0.0304,-0.4552,99.03,98.08,98.78
