isins,timeSpan,nameTimeSpan,performanceTimeSpanPct,sharpeRatioAnnualised,sharpeRatio,excessReturn,volatility,maxDrawdown,countMonthsPositivePerformance,oneMonthHigh,oneMonthLow,highQuote,lowQuote,avgPrice
LU1221100792,1M,1 Monat,0.3467,0.8948,0.0716,1.1294,15.7778,-4.0698,100.0,1.0994,1.0994,26.4952,25.1405,25.85
LU1221100792,3M,3 Monate,3.9878,0.3326,0.0822,1.3979,16.9972,-6.8158,66.6667,4.4295,-3.7806,26.4952,24.5437,25.65
LU1221100792,1Y,1 Jahr,20.6568,0.8956,0.8957,12.9775,14.4886,-6.8158,75.0,4.7233,-3.7806,26.4952,21.7971,24.82
LU1221100792,3Y,3 Jahre,44.544,0.5994,2.0353,45.7484,22.4773,-38.9949,75.0,17.3325,-34.5136,26.4952,13.6297,21.47
LU1221100792,5Y,5 Jahre,35.0893,0.4004,2.3155,45.0456,19.4539,-38.9949,68.3333,17.3325,-34.5136,26.4952,13.6297,20.5
LU1221100792,10Y,10 Jahre,,,,,,,,,,,,
LU1221100792,CY,2022,-1.865,,,,,,,,,,,
LU1221100792,1PA,2021,26.2411,,,,,,,,,,,
LU1221100792,2PA,2020,-5.4233,,,,,,,,,,,
LU1221100792,3PA,2019,31.1023,,,,,,,,,,,
LU1221100792,4PA,2018,-12.8146,,,,,,,,,,,
LU1221100792,5PA,2017,1.0568,,,,,,,,,,,
LU1221100792,SE,Seit Emission,64.4099,,,,,,,,,,,
LU1221100792,2Y,2 Jahre,,0.3124,0.6482,16.7179,25.7902,-38.9949,75.0,17.3325,-34.5136,26.4952,13.6297,22.41
LU1221100792,4Y,4 Jahre,,0.2682,1.1564,24.3457,21.0534,-38.9949,66.6667,17.3325,-34.5136,26.4952,13.6297,20.84
LU1221102491,1M,1 Monat,1.7253,0.7634,0.0616,0.9728,15.8003,-4.1418,100.0,0.9428,0.9428,19.5687,18.583,19.09
LU1221102491,3M,3 Monate,4.2056,0.2136,0.0532,0.9072,17.0619,-6.9475,66.6667,4.3495,-4.0169,19.5687,18.1659,18.98
LU1221102491,1Y,1 Jahr,16.06,0.8059,0.8061,11.7364,14.5599,-6.9475,75.0,4.761,-4.0169,19.5687,16.2594,18.45
LU1221102491,3Y,3 Jahre,50.9108,0.524,1.7491,39.0633,22.334,-38.5635,75.0,17.0597,-34.0724,19.5687,10.2779,16.12
LU1221102491,5Y,5 Jahre,34.1921,0.287,1.5869,30.7457,19.3744,-38.6258,66.6667,17.0597,-34.0724,19.5687,10.2779,15.76
LU1221102491,10Y,10 Jahre,,,,,,,,,,,,
LU1221102491,CY,2022,-1.6715,,,,,,,,,,,
LU1221102491,1PA,2021,20.6422,,,,,,,,,,,
LU1221102491,2PA,2020,3.2486,,,,,,,,,,,
LU1221102491,3PA,2019,28.962,,,,,,,,,,,
LU1221102491,4PA,2018,-16.2808,,,,,,,,,,,
LU1221102491,5PA,2017,2.5687,,,,,,,,,,,
LU1221102491,SE,Seit Emission,60.3473,,,,,,,,,,,
LU1221102491,2Y,2 Jahre,,0.2816,0.582,14.9013,25.605,-38.5635,75.0,17.0597,-34.0724,19.5687,10.2779,16.72
LU1221102491,4Y,4 Jahre,,0.1673,0.6984,14.6352,20.9568,-38.6258,66.6667,17.0597,-34.0724,19.5687,10.2779,15.82
LU0378438732,1M,1 Monat,1.0057,0.8958,0.072,1.0357,14.3812,-4.1078,100.0,1.0057,1.0057,137.771,130.797,134.49
